,rpId,direction,x,y,z,dx,dy
0,0,u,0.51389,56.0044,-203.379,-0.707107,0.707107
1,0,v,-0.51389,56.0044,-203.375,0.707107,0.707107
2,1,u,-0.51389,-56.3534,-203.379,0.707107,-0.707107
3,1,v,0.51389,-56.3534,-203.375,-0.707107,-0.707107
4,2,u,57.1404,-0.51389,-203.829,0.707107,0.707107
5,2,v,57.1404,0.51389,-203.825,0.707107,-0.707107
6,3,u,21.7941,2.92599,-212.552,0.6065378,0.7950546
7,3,v,21.65068,3.944364,-212.548,0.7950544,-0.6065382
8,4,u,-2.40435,19.89768,-213.002,-0.7978718,0.6028274
9,4,v,-3.421792,19.75438,-212.998,0.602827,0.7978716
10,5,u,2.580952,-20.1678,-213.002,0.7990532,-0.6012596
11,5,v,3.598306,-20.02554,-212.998,-0.6012598,-0.799053
12,20,u,-0.0069561194,20.3875,-214.63,-0.7069706,0.7072426
13,20,v,-1.033864,20.38656,-214.626,0.7072428,0.7069704
14,21,u,-0.860658,-20.5311,-214.63,0.7074852,-0.706728
15,21,v,0.177638,-20.5416,-214.626,-0.7067286,-0.7074846
16,22,u,21.71552,0.632294,-215.08,0.7123838,0.70179
17,22,v,21.71554,1.660084,-215.076,0.7017902,-0.7123838
18,23,u,21.23984,-0.230372,-219.552,0.7086158,0.7055946
19,23,v,21.23958,0.795868,-219.548,0.705594,-0.708616
20,24,u,0.421122,20.85394,-220.002,-0.7068118,0.7074014
21,24,v,-0.606724,20.8539,-219.998,0.7074018,0.7068116
22,25,u,-0.37287,-21.08204,-220.002,0.7070328,-0.7071808
23,25,v,0.65495,-21.08198,-219.998,-0.7071812,-0.7070324
24,100,u,-0.51389,56.0124,203.379,0.707107,0.707107
25,100,v,0.51389,56.0124,203.375,-0.707107,0.707107
26,101,u,0.51389,-56.0594,203.379,-0.707107,-0.707107
27,101,v,-0.51389,-56.0594,203.375,0.707107,-0.707107
28,102,u,57.1294,0.51389,203.829,0.707107,-0.707107
29,102,v,57.1294,-0.51389,203.825,0.707107,0.707107
30,103,u,21.86502,4.02628,212.552,0.7966378,-0.6044568
31,103,v,22.0073,3.009268,212.548,0.6044568,0.7966378
32,104,u,-3.420236,19.95536,213.002,0.6020148,0.798485
33,104,v,-2.402422,20.09834,212.998,-0.7984846,0.6020148
34,105,u,3.725856,-20.0046,213.002,-0.6018206,-0.7986314
35,105,v,2.708382,-20.1479,212.998,0.798631,-0.6018206
36,120,u,0.13618204,22.02098,214.63,0.6929806,0.720956
37,120,v,1.162778,22.02224,214.626,-0.7209562,0.6929808
38,121,u,0.419144,-20.61448,214.63,-0.7079272,-0.7062854
39,121,v,-0.608644,-20.61446,214.626,0.706285,-0.707927
40,122,u,21.78592,1.6191,215.08,0.7036624,-0.7105344
41,122,v,21.78592,0.591322,215.076,0.7105342,0.7036626
42,123,u,21.07514,0.548232,219.552,0.7041836,-0.710018
43,123,v,21.07486,-0.479184,219.548,0.7100178,0.7041836
44,124,u,-1.068934,20.98444,220.002,0.7075492,0.7066638
45,124,v,-0.04112611,20.98448,219.998,-0.7066642,0.7075488
46,125,u,-0.191026,-21.25066,220.002,-0.7058416,-0.7083694
47,125,v,-1.218794,-21.25056,219.998,0.7083694,-0.7058414
