,eventID,groupID,RP_hit_in_group,Max_line_no
1,20000001,4,3,3
42,20000022,5,3,1
83,20000040,2,3,1
91,20000043,2,3,4
123,20000058,2,3,1
126,20000059,4,3,1
157,20000073,1,3,2
185,20000086,1,3,1
197,20000092,2,3,1
219,20000102,5,3,1
266,20000124,4,3,1
267,20000125,1,3,1
296,20000139,5,3,1
398,20000188,2,3,1
428,20000203,5,3,7
434,20000206,5,3,3
436,20000207,2,3,2
444,20000210,4,3,4
473,20000225,1,3,1
482,20000230,5,3,1
491,20000236,1,3,1
511,20000245,1,3,3
512,20000245,2,3,4
532,20000254,5,3,1
562,20000269,4,3,1
563,20000270,2,3,1
564,20000270,4,3,1
598,20000287,5,3,1
655,20000315,4,3,1
671,20000323,2,3,1
678,20000326,1,3,1
693,20000333,5,3,1
706,20000342,2,3,1
710,20000344,2,3,1
722,20000349,5,3,1
743,20000358,5,3,1
767,20000369,5,3,3
771,20000371,1,3,1
791,20000381,2,3,1
802,20000386,5,3,1
803,20000387,2,3,1
814,20000393,5,3,1
829,20000402,1,3,1
881,20000426,5,3,2
891,20000432,5,3,1
936,20000456,4,3,1
942,20000459,5,3,1
967,20000471,4,3,1
995,20000484,4,3,1
1006,20000491,5,3,1
1022,20000499,2,3,1
1027,20000501,5,3,1
1048,20000512,2,3,2
1073,20000524,4,3,1
1089,20000532,5,3,1
1094,20000535,1,3,1
1161,20000566,2,3,2
1205,20000587,5,3,1
1248,20000609,1,3,1
1262,20000616,1,3,1
1273,20000621,2,3,8
1310,20000640,4,3,1
1339,20000654,1,3,1
1346,20000657,5,3,1
1347,20000658,2,3,1
1368,20000667,5,3,1
1386,20000674,5,3,1
1393,20000678,2,3,1
1414,20000691,2,3,1
1436,20000701,5,3,1
1437,20000702,1,3,1
1451,20000708,5,3,1
1488,20000727,1,3,1
1489,20000727,5,3,5
1502,20000734,2,3,1
1519,20000743,4,3,4
1555,20000762,4,3,1
1595,20000781,5,3,1
1613,20000789,4,3,1
