,eventID,groupID,RP_hit_in_group,Max_line_no
18,11,2,3,1
19,11,4,3,1
57,31,1,3,3
70,37,2,3,5
82,43,1,3,1
101,52,4,3,1
107,55,2,3,1
117,59,1,3,3
157,78,1,3,1
172,85,1,3,1
223,109,4,3,1
279,135,4,3,2
284,137,4,3,1
295,143,2,3,1
336,161,2,3,1
406,194,4,3,1
457,219,4,3,1
482,232,2,3,1
491,237,5,3,1
506,245,2,3,1
525,254,2,3,1
526,254,4,3,1
529,256,2,3,1
533,258,2,3,1
542,262,4,3,1
554,268,4,3,1
558,270,4,3,1
573,277,5,3,1
588,283,1,3,2
635,305,2,3,1
636,305,4,3,1
646,310,4,3,1
676,324,5,3,4
686,329,2,3,1
687,329,4,3,1
711,341,4,3,1
718,345,5,3,1
723,348,1,3,1
753,365,1,3,1
775,376,2,3,1
796,386,1,3,1
821,398,1,3,1
843,407,1,3,1
857,413,4,3,2
864,417,1,3,1
881,425,2,3,1
899,434,2,3,1
902,435,5,3,1
920,446,2,3,1
921,446,4,3,2
927,449,5,3,1
945,456,4,3,3
947,456,6,3,3
950,458,2,3,1
977,471,5,3,1
985,475,1,3,7
1003,483,2,3,3
1004,483,3,3,1
1018,489,5,3,1
1121,538,5,3,1
1126,541,1,3,1
1146,551,2,3,1
1148,552,1,3,3
1152,554,5,3,1
1158,557,2,3,1
1175,565,5,3,1
1234,598,2,3,2
1245,603,5,3,1
1303,633,2,3,1
1316,640,2,3,1
1320,642,2,3,1
1371,668,5,3,1
1431,696,2,3,1
1483,721,4,3,1
1500,731,1,3,1
1615,787,5,3,1
1626,792,2,3,1
1641,799,5,3,1
1666,813,5,3,1
1725,842,1,3,1
1732,845,4,3,2
1755,855,4,3,1
1756,856,2,3,1
1777,866,4,3,1
1797,875,2,3,1
1802,877,5,3,1
1808,880,4,3,2
1824,887,4,3,2
1829,890,1,3,1
1841,896,1,3,1
1850,900,4,3,1
1853,902,2,3,1
1882,916,1,3,1
1883,916,5,3,1
1902,926,1,3,1
1914,932,1,3,1
1927,938,1,3,1
1952,949,4,3,1
1958,952,5,3,3
1963,955,2,3,1
1972,959,4,3,1
2017,979,1,3,1
2035,987,2,3,1
