,eventID,groupID,rpID
0,20000100.0,1.0,4.0
1,20000106.0,1.0,4.0
2,20000148.0,2.0,5.0
3,20000148.0,2.0,21.0
4,20000346.0,5.0,121.0
5,20000495.0,4.0,120.0
6,20000558.0,3.0,23.0
7,20000725.0,5.0,121.0
8,20000774.0,4.0,104.0
9,20000851.0,5.0,121.0
10,20000872.0,1.0,4.0
11,20000981.0,1.0,4.0
12,20001058.0,1.0,4.0
13,20001194.0,5.0,121.0
14,20001197.0,5.0,125.0
15,20001302.0,2.0,5.0
16,20001302.0,2.0,21.0
17,20001326.0,4.0,120.0
18,20001407.0,1.0,20.0
19,20001451.0,5.0,121.0
20,20001633.0,5.0,121.0
21,20001647.0,1.0,20.0
22,20001654.0,1.0,4.0
23,20001676.0,4.0,120.0
24,20001688.0,5.0,121.0
25,20001793.0,5.0,121.0
26,20001800.0,1.0,4.0
27,20001825.0,4.0,120.0
28,20001884.0,2.0,5.0
29,20001884.0,2.0,21.0
30,20002033.0,1.0,4.0
31,20002038.0,5.0,121.0
32,20002185.0,2.0,21.0
33,20002214.0,4.0,120.0
34,20002336.0,5.0,121.0
35,20002513.0,5.0,121.0
36,20002533.0,5.0,121.0
37,20002560.0,4.0,120.0
38,20002602.0,1.0,4.0
39,20002623.0,5.0,121.0
40,20002648.0,4.0,120.0
41,20002651.0,4.0,120.0
42,20002673.0,2.0,21.0
43,20002778.0,2.0,5.0
44,20002778.0,2.0,21.0
45,20002815.0,5.0,121.0
46,20002885.0,2.0,5.0
47,20003041.0,4.0,120.0
48,20003130.0,4.0,120.0
49,20003180.0,4.0,120.0
50,20003201.0,1.0,4.0
51,20003634.0,4.0,120.0
52,20003888.0,4.0,120.0
53,20004068.0,1.0,4.0
54,20004156.0,5.0,121.0
55,20004162.0,2.0,5.0
56,20004167.0,2.0,21.0
57,20004179.0,1.0,4.0
58,20004191.0,2.0,5.0
59,20004243.0,4.0,120.0
60,20004402.0,4.0,120.0
61,20004497.0,1.0,4.0
62,20004532.0,5.0,121.0
63,20004862.0,4.0,120.0
64,20004863.0,1.0,4.0
65,20005130.0,1.0,20.0
66,20005144.0,5.0,121.0
67,20005263.0,4.0,120.0
68,20005274.0,5.0,121.0
69,20005382.0,5.0,121.0
70,20005431.0,5.0,121.0
71,20005491.0,1.0,4.0
72,20005663.0,4.0,120.0
73,20005666.0,5.0,121.0
74,20005768.0,4.0,120.0
75,20005844.0,4.0,120.0
76,20005961.0,4.0,120.0
77,20006040.0,4.0,120.0
78,20006098.0,4.0,120.0
79,20006115.0,4.0,120.0
80,20006131.0,5.0,121.0
81,20006243.0,1.0,20.0
82,20006326.0,2.0,5.0
83,20006326.0,2.0,21.0
84,20006349.0,1.0,4.0
85,20006379.0,5.0,105.0
86,20006379.0,5.0,121.0
87,20006384.0,4.0,120.0
88,20006460.0,2.0,5.0
89,20006535.0,4.0,120.0
90,20006776.0,4.0,120.0
91,20006937.0,5.0,121.0
92,20007066.0,4.0,120.0
93,20007077.0,4.0,120.0
94,20007184.0,1.0,4.0
95,20007224.0,2.0,21.0
96,20007474.0,2.0,21.0
97,20007593.0,2.0,21.0
98,20007646.0,2.0,5.0
99,20007664.0,1.0,4.0
100,20007675.0,2.0,21.0
101,20007765.0,1.0,4.0
102,20007773.0,1.0,4.0
103,20007773.0,1.0,20.0
104,20007963.0,1.0,4.0
105,20008091.0,5.0,105.0
106,20008210.0,4.0,120.0
107,20008241.0,1.0,4.0
108,20008282.0,4.0,120.0
109,20008390.0,1.0,4.0
110,20008405.0,5.0,121.0
111,20008424.0,5.0,121.0
112,20008590.0,5.0,121.0
113,20008634.0,2.0,5.0
114,20008681.0,1.0,4.0
115,20008701.0,3.0,23.0
116,20008710.0,1.0,4.0
117,20008793.0,1.0,4.0
118,20008838.0,4.0,120.0
119,20008864.0,1.0,4.0
120,20008895.0,4.0,120.0
121,20008900.0,1.0,4.0
122,20008917.0,5.0,121.0
123,20008930.0,1.0,20.0
124,20008960.0,5.0,121.0
125,20008979.0,5.0,121.0
126,20009003.0,2.0,5.0
127,20009003.0,2.0,21.0
128,20009148.0,2.0,21.0
129,20009256.0,4.0,120.0
130,20009323.0,5.0,105.0
131,20009323.0,5.0,121.0
132,20009522.0,1.0,4.0
133,20009564.0,1.0,4.0
134,20009755.0,5.0,121.0
135,20009977.0,1.0,20.0
